Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","53","Benin","5510","Production","1765","Meat, Total","2016","2016","tonnes","76963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","18","Bhutan","5510","Production","1765","Meat, Total","2016","2016","tonnes","6587","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","19","Bolivia (Plurinational State of)","5510","Production","1765","Meat, Total","2016","2016","tonnes","863729","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","80","Bosnia and Herzegovina","5510","Production","1765","Meat, Total","2016","2016","tonnes","83179","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","20","Botswana","5510","Production","1765","Meat, Total","2016","2016","tonnes","70358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","21","Brazil","5510","Production","1765","Meat, Total","2016","2016","tonnes","26958279","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1765","Meat, Total","2016","2016","tonnes","26265","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","27","Bulgaria","5510","Production","1765","Meat, Total","2016","2016","tonnes","216524","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","233","Burkina Faso","5510","Production","1765","Meat, Total","2016","2016","tonnes","245726","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","29","Burundi","5510","Production","1765","Meat, Total","2016","2016","tonnes","32755","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","35","Cabo Verde","5510","Production","1765","Meat, Total","2016","2016","tonnes","5526","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","115","Cambodia","5510","Production","1765","Meat, Total","2016","2016","tonnes","203947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","32","Cameroon","5510","Production","1765","Meat, Total","2016","2016","tonnes","300201","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","33","Canada","5510","Production","1765","Meat, Total","2016","2016","tonnes","4605925","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","37","Central African Republic","5510","Production","1765","Meat, Total","2016","2016","tonnes","179027","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","39","Chad","5510","Production","1765","Meat, Total","2016","2016","tonnes","664769","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","40","Chile","5510","Production","1765","Meat, Total","2016","2016","tonnes","1498620","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1765","Meat, Total","2016","2016","tonnes","86563608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","96","China, Hong Kong SAR","5510","Production","1765","Meat, Total","2016","2016","tonnes","157798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","128","China, Macao SAR","5510","Production","1765","Meat, Total","2016","2016","tonnes","11333","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","41","China, mainland","5510","Production","1765","Meat, Total","2016","2016","tonnes","84900383","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","214","China, Taiwan Province of","5510","Production","1765","Meat, Total","2016","2016","tonnes","1494094","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","44","Colombia","5510","Production","1765","Meat, Total","2016","2016","tonnes","2643959","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","45","Comoros","5510","Production","1765","Meat, Total","2016","2016","tonnes","2275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","46","Congo","5510","Production","1765","Meat, Total","2016","2016","tonnes","65117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","47","Cook Islands","5510","Production","1765","Meat, Total","2016","2016","tonnes","459","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","48","Costa Rica","5510","Production","1765","Meat, Total","2016","2016","tonnes","261637","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","107","Côte d'Ivoire","5510","Production","1765","Meat, Total","2016","2016","tonnes","276288","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","98","Croatia","5510","Production","1765","Meat, Total","2016","2016","tonnes","217312","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","49","Cuba","5510","Production","1765","Meat, Total","2016","2016","tonnes","350911","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","50","Cyprus","5510","Production","1765","Meat, Total","2016","2016","tonnes","79211","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","167","Czechia","5510","Production","1765","Meat, Total","2016","2016","tonnes","506742","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","116","Democratic People's Republic of Korea","5510","Production","1765","Meat, Total","2016","2016","tonnes","354106","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","250","Democratic Republic of the Congo","5510","Production","1765","Meat, Total","2016","2016","tonnes","244206","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","54","Denmark","5510","Production","1765","Meat, Total","2016","2016","tonnes","1868369","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","72","Djibouti","5510","Production","1765","Meat, Total","2016","2016","tonnes","11338","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","55","Dominica","5510","Production","1765","Meat, Total","2016","2016","tonnes","1403","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","56","Dominican Republic","5510","Production","1765","Meat, Total","2016","2016","tonnes","495802","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","58","Ecuador","5510","Production","1765","Meat, Total","2016","2016","tonnes","782111","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","59","Egypt","5510","Production","1765","Meat, Total","2016","2016","tonnes","2182435","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","60","El Salvador","5510","Production","1765","Meat, Total","2016","2016","tonnes","162476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","61","Equatorial Guinea","5510","Production","1765","Meat, Total","2016","2016","tonnes","610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","178","Eritrea","5510","Production","1765","Meat, Total","2016","2016","tonnes","39301","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","63","Estonia","5510","Production","1765","Meat, Total","2016","2016","tonnes","77963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","209","Eswatini","5510","Production","1765","Meat, Total","2016","2016","tonnes","25841","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","238","Ethiopia","5510","Production","1765","Meat, Total","2016","2016","tonnes","760724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","64","Faroe Islands","5510","Production","1765","Meat, Total","2016","2016","tonnes","629","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","66","Fiji","5510","Production","1765","Meat, Total","2016","2016","tonnes","21876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","67","Finland","5510","Production","1765","Meat, Total","2016","2016","tonnes","406546","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","68","France","5510","Production","1765","Meat, Total","2016","2016","tonnes","5663906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","70","French Polynesia","5510","Production","1765","Meat, Total","2016","2016","tonnes","1795","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","74","Gabon","5510","Production","1765","Meat, Total","2016","2016","tonnes","39250","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","75","Gambia","5510","Production","1765","Meat, Total","2016","2016","tonnes","8604","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","73","Georgia","5510","Production","1765","Meat, Total","2016","2016","tonnes","65485","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","79","Germany","5510","Production","1765","Meat, Total","2016","2016","tonnes","8399577","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","81","Ghana","5510","Production","1765","Meat, Total","2016","2016","tonnes","271505","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","84","Greece","5510","Production","1765","Meat, Total","2016","2016","tonnes","463124","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","86","Grenada","5510","Production","1765","Meat, Total","2016","2016","tonnes","1152","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","89","Guatemala","5510","Production","1765","Meat, Total","2016","2016","tonnes","484860","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","90","Guinea","5510","Production","1765","Meat, Total","2016","2016","tonnes","126645","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","175","Guinea-Bissau","5510","Production","1765","Meat, Total","2016","2016","tonnes","24715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","91","Guyana","5510","Production","1765","Meat, Total","2016","2016","tonnes","35277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","93","Haiti","5510","Production","1765","Meat, Total","2016","2016","tonnes","107731","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","95","Honduras","5510","Production","1765","Meat, Total","2016","2016","tonnes","263707","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","97","Hungary","5510","Production","1765","Meat, Total","2016","2016","tonnes","1016029","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","99","Iceland","5510","Production","1765","Meat, Total","2016","2016","tonnes","33990","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","100","India","5510","Production","1765","Meat, Total","2016","2016","tonnes","7304351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","101","Indonesia","5510","Production","1765","Meat, Total","2016","2016","tonnes","3348950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","102","Iran (Islamic Republic of)","5510","Production","1765","Meat, Total","2016","2016","tonnes","2972688","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","103","Iraq","5510","Production","1765","Meat, Total","2016","2016","tonnes","173597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","104","Ireland","5510","Production","1765","Meat, Total","2016","2016","tonnes","1062763","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","105","Israel","5510","Production","1765","Meat, Total","2016","2016","tonnes","795531","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","106","Italy","5510","Production","1765","Meat, Total","2016","2016","tonnes","3838805","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","109","Jamaica","5510","Production","1765","Meat, Total","2016","2016","tonnes","144414","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","110","Japan","5510","Production","1765","Meat, Total","2016","2016","tonnes","3921032","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","112","Jordan","5510","Production","1765","Meat, Total","2016","2016","tonnes","247447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","108","Kazakhstan","5510","Production","1765","Meat, Total","2016","2016","tonnes","951224","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","114","Kenya","5510","Production","1765","Meat, Total","2016","2016","tonnes","760819","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","83","Kiribati","5510","Production","1765","Meat, Total","2016","2016","tonnes","1895","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","118","Kuwait","5510","Production","1765","Meat, Total","2016","2016","tonnes","111837","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","113","Kyrgyzstan","5510","Production","1765","Meat, Total","2016","2016","tonnes","222441","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","120","Lao People's Democratic Republic","5510","Production","1765","Meat, Total","2016","2016","tonnes","168192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","119","Latvia","5510","Production","1765","Meat, Total","2016","2016","tonnes","87176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","121","Lebanon","5510","Production","1765","Meat, Total","2016","2016","tonnes","176297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","122","Lesotho","5510","Production","1765","Meat, Total","2016","2016","tonnes","26864","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","123","Liberia","5510","Production","1765","Meat, Total","2016","2016","tonnes","37013","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","124","Libya","5510","Production","1765","Meat, Total","2016","2016","tonnes","181662","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","126","Lithuania","5510","Production","1765","Meat, Total","2016","2016","tonnes","231357","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","256","Luxembourg","5510","Production","1765","Meat, Total","2016","2016","tonnes","24255","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","129","Madagascar","5510","Production","1765","Meat, Total","2016","2016","tonnes","335525","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","130","Malawi","5510","Production","1765","Meat, Total","2016","2016","tonnes","325654","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","131","Malaysia","5510","Production","1765","Meat, Total","2016","2016","tonnes","2003547","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","132","Maldives","5510","Production","1765","Meat, Total","2016","2016","tonnes","875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","133","Mali","5510","Production","1765","Meat, Total","2016","2016","tonnes","433006","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","134","Malta","5510","Production","1765","Meat, Total","2016","2016","tonnes","12238","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","136","Mauritania","5510","Production","1765","Meat, Total","2016","2016","tonnes","117010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","137","Mauritius","5510","Production","1765","Meat, Total","2016","2016","tonnes","49169","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","138","Mexico","5510","Production","1765","Meat, Total","2016","2016","tonnes","6551019","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","145","Micronesia (Federated States of)","5510","Production","1765","Meat, Total","2016","2016","tonnes","1419","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","141","Mongolia","5510","Production","1765","Meat, Total","2016","2016","tonnes","334638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","273","Montenegro","5510","Production","1765","Meat, Total","2016","2016","tonnes","14538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","143","Morocco","5510","Production","1765","Meat, Total","2016","2016","tonnes","1199055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","144","Mozambique","5510","Production","1765","Meat, Total","2016","2016","tonnes","181970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","28","Myanmar","5510","Production","1765","Meat, Total","2016","2016","tonnes","3077447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","147","Namibia","5510","Production","1765","Meat, Total","2016","2016","tonnes","75919","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","148","Nauru","5510","Production","1765","Meat, Total","2016","2016","tonnes","79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","149","Nepal","5510","Production","1765","Meat, Total","2016","2016","tonnes","371708","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","150","Netherlands","5510","Production","1765","Meat, Total","2016","2016","tonnes","2985882","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","153","New Caledonia","5510","Production","1765","Meat, Total","2016","2016","tonnes","6763","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","156","New Zealand","5510","Production","1765","Meat, Total","2016","2016","tonnes","1438778","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","157","Nicaragua","5510","Production","1765","Meat, Total","2016","2016","tonnes","264906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","158","Niger","5510","Production","1765","Meat, Total","2016","2016","tonnes","176596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","159","Nigeria","5510","Production","1765","Meat, Total","2016","2016","tonnes","1401915","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","160","Niue","5510","Production","1765","Meat, Total","2016","2016","tonnes","88","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","154","North Macedonia","5510","Production","1765","Meat, Total","2016","2016","tonnes","21994","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","162","Norway","5510","Production","1765","Meat, Total","2016","2016","tonnes","352832","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","221","Oman","5510","Production","1765","Meat, Total","2016","2016","tonnes","81758","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","165","Pakistan","5510","Production","1765","Meat, Total","2016","2016","tonnes","3502870","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","299","Palestine","5510","Production","1765","Meat, Total","2016","2016","tonnes","82866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","166","Panama","5510","Production","1765","Meat, Total","2016","2016","tonnes","302119","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","168","Papua New Guinea","5510","Production","1765","Meat, Total","2016","2016","tonnes","498150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","169","Paraguay","5510","Production","1765","Meat, Total","2016","2016","tonnes","584055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","170","Peru","5510","Production","1765","Meat, Total","2016","2016","tonnes","1829222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","171","Philippines","5510","Production","1765","Meat, Total","2016","2016","tonnes","3499426","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","173","Poland","5510","Production","1765","Meat, Total","2016","2016","tonnes","4261393","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","174","Portugal","5510","Production","1765","Meat, Total","2016","2016","tonnes","856176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","177","Puerto Rico","5510","Production","1765","Meat, Total","2016","2016","tonnes","49496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","179","Qatar","5510","Production","1765","Meat, Total","2016","2016","tonnes","26125","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","117","Republic of Korea","5510","Production","1765","Meat, Total","2016","2016","tonnes","2437083","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","146","Republic of Moldova","5510","Production","1765","Meat, Total","2016","2016","tonnes","138174","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","183","Romania","5510","Production","1765","Meat, Total","2016","2016","tonnes","1134370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","185","Russian Federation","5510","Production","1765","Meat, Total","2016","2016","tonnes","9853340","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","184","Rwanda","5510","Production","1765","Meat, Total","2016","2016","tonnes","107447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","188","Saint Kitts and Nevis","5510","Production","1765","Meat, Total","2016","2016","tonnes","207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","189","Saint Lucia","5510","Production","1765","Meat, Total","2016","2016","tonnes","2709","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","191","Saint Vincent and the Grenadines","5510","Production","1765","Meat, Total","2016","2016","tonnes","1142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","244","Samoa","5510","Production","1765","Meat, Total","2016","2016","tonnes","5139","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","193","Sao Tome and Principe","5510","Production","1765","Meat, Total","2016","2016","tonnes","1351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1765","Meat, Total","2016","2016","tonnes","862048","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","195","Senegal","5510","Production","1765","Meat, Total","2016","2016","tonnes","240476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","272","Serbia","5510","Production","1765","Meat, Total","2016","2016","tonnes","488594","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","196","Seychelles","5510","Production","1765","Meat, Total","2016","2016","tonnes","998","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5510","Production","1765","Meat, Total","2016","2016","tonnes","42837","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","200","Singapore","5510","Production","1765","Meat, Total","2016","2016","tonnes","123151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","199","Slovakia","5510","Production","1765","Meat, Total","2016","2016","tonnes","138115","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","198","Slovenia","5510","Production","1765","Meat, Total","2016","2016","tonnes","131908","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","25","Solomon Islands","5510","Production","1765","Meat, Total","2016","2016","tonnes","3532","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","201","Somalia","5510","Production","1765","Meat, Total","2016","2016","tonnes","190127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","202","South Africa","5510","Production","1765","Meat, Total","2016","2016","tonnes","3248886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","277","South Sudan","5510","Production","1765","Meat, Total","2016","2016","tonnes","416835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","203","Spain","5510","Production","1765","Meat, Total","2016","2016","tonnes","6546387","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","38","Sri Lanka","5510","Production","1765","Meat, Total","2016","2016","tonnes","211515","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","276","Sudan","5510","Production","1765","Meat, Total","2016","2016","tonnes","957831","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","207","Suriname","5510","Production","1765","Meat, Total","2016","2016","tonnes","12361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","210","Sweden","5510","Production","1765","Meat, Total","2016","2016","tonnes","545921","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","211","Switzerland","5510","Production","1765","Meat, Total","2016","2016","tonnes","483298","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","212","Syrian Arab Republic","5510","Production","1765","Meat, Total","2016","2016","tonnes","342425","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","208","Tajikistan","5510","Production","1765","Meat, Total","2016","2016","tonnes","126134","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","216","Thailand","5510","Production","1765","Meat, Total","2016","2016","tonnes","2772631","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","176","Timor-Leste","5510","Production","1765","Meat, Total","2016","2016","tonnes","35768","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","217","Togo","5510","Production","1765","Meat, Total","2016","2016","tonnes","79647","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","218","Tokelau","5510","Production","1765","Meat, Total","2016","2016","tonnes","24","A","Aggregate, may include official, semi-official, estimated or calculated data"
